function,1,2,3,4,5,6,7,8,9,10,11,12,13
main0,2.94913e-50,3.69569e-30,6224.11,1.73521e-07,23.979,0,0.00506753,-12569.5,58.8732,3.9968e-15,0,5.02002e-31,1.34978e-32
main1,7.01415e-63,7.80247e-38,1.55764,1.18e-06,30.5173,0,0.0103059,-12383.9,11.7588,3.9968e-15,0,0.332217,1.34978e-32
main2,2.101e-43,7.15705e-27,0.38764,0.146366,22.5848,0,0.00338701,-12557.6,2.32157,4.35207e-15,0,0.0764478,1.34978e-32
main3,1.36529e-46,1.17896e-27,0.0137651,0.0040386,19.7393,0,0.00249285,-12569.5,0,3.9968e-15,0,1.61349e-27,3.61879e-31
main4,2.55934e-28,5.75305e-22,2.81571,0.00336293,27.3541,0,0.00329114,-12557.6,5.20695,5.65474e-15,0,0.201363,2.50072e-30
main5,8.32781e-35,1.05592e-21,0.0981692,0.0499201,21.6014,0,0.00381246,-12545.8,1.85726,1.61944e-14,0.000493069,0.18067,0.000366246
main6,1.33843e-35,4.5093e-25,73.856,0.000131412,18.9293,0,0.0034101,-12537.9,0.265322,5.18104e-15,0,0.0242935,1.34978e-32
main7,1.91939e-35,2.70809e-23,61.8391,0.000110062,11.471,0,0.00301044,-12545.8,0.265322,6.24686e-15,0,0.0277838,1.34978e-32
main8,1400.04,11.3162,10767.4,35.7171,358812,1210.17,0.183393,-9273.32,72.3462,8.54308,10.8561,74406,4.19686e+06
main9,8.87114e-34,6.20146e-25,1.47655e-05,9.14848,28.9647,0,0.00255021,-12466.9,3.4131,0.000116549,0.00401343,0.340193,2.80019e-19
main10,2.09203e-34,1.56982e-20,0.00212617,0.699317,29.8883,0,0.0085457,-12569.5,0,6.36528e-15,0,1.30972e-28,1.34978e-32
main11,5.70813e-31,9.12392e-21,8.2875e-05,3.33503,1.61162,0,0.00512273,-12569.5,3.38286,4.11523e-15,0.000246535,0.170166,8.98776e-32
main12,1.13737e-34,1.03503e-20,7.96614e-05,0.909821,13.0671,0,0.00767683,-12569.5,0.232157,5.53631e-15,0,1.83598e-28,1.34978e-32
main13,1.592e-27,3.84926e-17,38.9174,0.0114871,27.9385,0,0.0127958,-12569.5,0,1.67866e-14,0,1.96477e-25,4.37725e-28
main14,1.06428e-35,2.36127e-21,3.23272,0.912368,15.619,0,0.00986678,-12569.5,0.170532,5.06262e-15,0,0.0565589,1.34978e-32
main15,1.88389e-28,4.82283e-15,0.000325254,0.342137,0.516193,0,0.00531917,-12569.5,0.556181,9.20745e-15,6.76435e-06,0.00350062,6.0649e-29
main16,3.95386e-33,6.08085e-22,1.99216e-05,0.105912,5.66475,0,0.00624673,-12569.5,0,4.23365e-15,0,1.76905e-30,1.34978e-32
